,precision,recall,f1-score,support
BENIGN,0.9999625701809108,0.9987040659929471,0.9993329218645769,160502.0
Bot,0.5219123505976095,0.9562043795620438,0.6752577319587629,137.0
Brute Force,0.947,0.9926624737945493,0.9692937563971341,954.0
DDoS,0.9943451707758426,0.4827056110684089,0.6499112950916618,9107.0
DoS,0.7884615384615384,0.9962488102569845,0.8802592198669272,17861.0
Port Scan,0.9942645371922704,0.997079904433236,0.9956702306264911,11301.0
Web Attack,0.984251968503937,0.9057971014492754,0.9433962264150944,138.0
accuracy,0.974775,0.974775,0.974775,0.974775
macro avg,0.8900283051017298,0.9042003352224921,0.8733030546029498,200000.0
weighted avg,0.9799057787319447,0.974775,0.9721772961199386,200000.0
