,precision,recall,f1-score,support
BENIGN,0.9983893715937385,0.7144895390711642,0.8329120727473454,160502.0
Bot,0.6896551724137931,0.145985401459854,0.24096385542168675,137.0
Brute Force,0.9544534412955465,0.9884696016771488,0.9711637487126673,954.0
DDoS,0.26941917424772566,0.8032282859338971,0.4034971592476143,9107.0
DoS,0.5081725951903807,0.9086277364089357,0.6518063337148824,17861.0
Port Scan,0.444035964035964,0.9832758162994425,0.6117932059681771,11301.0
Web Attack,0.0,0.0,0.0,138.0
accuracy,0.75148,0.75148,0.75148,0.75148
macro avg,0.5520179598253069,0.6491537686929203,0.5303051965446247,200000.0
weighted avg,0.8889832191664737,0.75148,0.7843699617047749,200000.0
