,precision,recall,f1-score,support
BENIGN,0.9991189317203327,0.9961994243062392,0.9976570421326845,160502.0
Bot,0.0,0.0,0.0,137.0
Brute Force,0.9319727891156463,0.7180293501048218,0.8111308466548254,954.0
DDoS,0.9258517034068137,0.05073020753266718,0.09618988132417239,9107.0
DoS,0.6629842558148273,0.9878506242651587,0.7934523541844674,17861.0
Port Scan,0.9636658972386082,0.9974338554110256,0.9802591529698235,11301.0
Web Attack,0.0,0.0,0.0,138.0
accuracy,0.949775,0.949775,0.949775,0.949775
macro avg,0.6405133681851755,0.5357490659457017,0.5255270396094247,200000.0
weighted avg,0.9620668519026059,0.949775,0.9351276591955441,200000.0
