,precision,recall,f1-score,support
BENIGN,0.9997504164924782,0.9982866257118291,0.9990179849050251,160502.0
Bot,0.6624203821656051,0.7591240875912408,0.7074829931972789,137.0
Brute Force,0.9607250755287009,1.0,0.9799691833590138,954.0
DDoS,0.9995538701762213,0.9840781816185352,0.9917556576108006,9107.0
DoS,0.9812944049733571,0.9898102009965848,0.9855339075173509,17861.0
Port Scan,0.9929184739311322,0.992567029466419,0.9927427205947429,11301.0
Web Attack,0.42105263157894735,0.927536231884058,0.579185520361991,138.0
accuracy,0.996355,0.996355,0.996355,0.996355
macro avg,0.859673607835206,0.9502003367526666,0.8908125667923148,200000.0
weighted avg,0.9968906903113222,0.996355,0.996548266837495,200000.0
