,precision,recall,f1-score,support
BENIGN,0.9993888102380521,0.9983987738470549,0.9988935467281709,160502.0
Bot,0.6216216216216216,0.5036496350364964,0.5564516129032258,137.0
Brute Force,0.99581589958159,0.9979035639412998,0.9968586387434555,954.0
DDoS,0.9742528735632184,0.6980344789722192,0.8133316274309109,9107.0
DoS,0.8632119286238084,0.988578467051117,0.9216515293872012,17861.0
Port Scan,0.9945845170454546,0.9913282010441554,0.9929536893419012,11301.0
Web Attack,0.3815028901734104,0.9565217391304348,0.5454545454545454,138.0
accuracy,0.983075,0.983075,0.983075,0.983075
macro avg,0.8329112201210223,0.8763449798603968,0.8322278842842016,200000.0
weighted avg,0.9851093477692775,0.983075,0.9825846025860877,200000.0
