,precision,recall,f1-score,support
BENIGN,1.0,0.9973084447545825,0.9986524088192357,160502.0
Bot,0.4840989399293286,1.0,0.6523809523809524,137.0
Brute Force,0.970498474059003,1.0,0.9850283944243676,954.0
DDoS,0.9990064031795098,0.9936312726474141,0.9963115882191027,9107.0
DoS,0.9886338185890258,0.988578467051117,0.9886061420452955,17861.0
Port Scan,0.987333978362213,0.9932749314219981,0.9902955447728276,11301.0
Web Attack,0.34748010610079577,0.9492753623188406,0.5087378640776699,138.0
accuracy,0.996115,0.996115,0.996115,0.996115
macro avg,0.8252931028885537,0.9888669254562789,0.8742875563913503,200000.0
weighted avg,0.9972796529535514,0.996115,0.996536209563824,200000.0
