Experimento,Modelo,Accuracy,F1_Macro,F1_Weighted
TSTR_Multi,Dummy,0.80251,0.12720515915505123,0.7145838859146413
TSTR_Multi,LogisticReg,0.949775,0.5255270396094247,0.9351276591955441
TSTR_Multi,RandomForest,0.996355,0.8908125667923148,0.996548266837495
TSTR_Multi,KNeighbors,0.974775,0.8733030546029498,0.9721772961199386
TSTR_Multi,LightGBM,0.75148,0.5303051965446247,0.7843699617047749
TSTR_Multi,XGBoost,0.996115,0.8742875563913503,0.996536209563824
TSTR_Multi,Voting,0.983075,0.8322278842842016,0.9825846025860877
TRTR_Multi,Dummy,0.80251,0.12720515915505123,0.7145838859146413
TRTR_Multi,LogisticReg,0.948515,0.7034423481668995,0.9540813991602798
TRTR_Multi,RandomForest,0.999435,0.9656923109834258,0.9994744968891232
TRTR_Multi,KNeighbors,0.995845,0.9180840237652543,0.9961595290135025
TRTR_Multi,LightGBM,0.999575,0.97135639433836,0.9995985158081073
TRTR_Multi,XGBoost,0.99955,0.9722006655363459,0.9995726444691982
TRTR_Multi,Voting,0.99947,0.9661090413715977,0.9995059789631056
TSTR_Binary,Dummy,0.80251,0.44521805704267936,0.7145838859146413
TSTR_Binary,LogisticReg,0.99763,0.9962686557741236,0.9976322538065392
TSTR_Binary,RandomForest,0.998205,0.9971758459937633,0.9982073100621677
TSTR_Binary,KNeighbors,0.99893,0.998315416714,0.9989310276802021
TSTR_Binary,LightGBM,0.97088,0.9564263056353695,0.971609786839121
TSTR_Binary,XGBoost,0.996805,0.9949906450443191,0.9968146321423725
TSTR_Binary,Voting,0.99895,0.9983468413688685,0.9989509885718338
TRTR_Binary,Dummy,0.19749,0.16491995757793385,0.0651400848441323
TRTR_Binary,LogisticReg,0.977575,0.9660341398519139,0.9780128520036282
TRTR_Binary,RandomForest,0.999505,0.9992199190433757,0.9995052334313281
TRTR_Binary,KNeighbors,0.99827,0.997279947107405,0.9982728061700392
TRTR_Binary,LightGBM,0.999655,0.9994561517581563,0.9996551134537452
TRTR_Binary,XGBoost,0.99955,0.9992907746816473,0.9995501929493578
TRTR_Binary,Voting,0.99959,0.9993537676702464,0.999590160194597
