,precision,recall,f1-score,support
BENIGN,0.9999875124875125,0.9978567245267972,0.9989209822180365,160502.0
Bot,0.3494897959183674,1.0,0.5179584120982986,137.0
Brute Force,0.9927083333333333,0.9989517819706499,0.9958202716823407,954.0
DDoS,0.962816116588084,0.9866037114307675,0.9745647811703455,9107.0
DoS,0.9921268762390257,0.9806841722188008,0.9863723392273904,17861.0
Port Scan,0.9934864888654168,0.9987611715777365,0.9961168475862677,11301.0
Web Attack,0.95,0.9637681159420289,0.9568345323741008,138.0
accuracy,0.995845,0.995845,0.995845,0.995845
macro avg,0.8915164462045342,0.9895179539523973,0.9180840237652543,200000.0
weighted avg,0.9967107745112629,0.995845,0.9961595290135025,200000.0
