,precision,recall,f1-score,support
BENIGN,0.9999937668684123,0.999563868363011,0.9997787714023089,160502.0
Bot,0.7135416666666666,1.0,0.8328267477203647,137.0
Brute Force,1.0,1.0,1.0,954.0
DDoS,0.9992318665642489,0.9998901943559899,0.9995609220636663,9107.0
DoS,0.9992724016342979,0.9996080846537148,0.9994402149574564,17861.0
Port Scan,0.9999114730878187,0.9994690735333156,0.9996902243660662,11301.0
Web Attack,0.9448275862068966,0.9927536231884058,0.9681978798586572,138.0
accuracy,0.999575,0.999575,0.999575,0.999575
macro avg,0.9509683944326202,0.9987549777277768,0.97135639433836,200000.0
weighted avg,0.9996557475845002,0.999575,0.9995985158081073,200000.0
