,precision,recall,f1-score,support
BENIGN,0.9999747046771053,0.9852089070541177,0.992536891857115,160502.0
Bot,0.058875219683655534,0.9781021897810219,0.11106506423539163,137.0
Brute Force,0.6080321285140562,0.7935010482180294,0.6884947703501592,954.0
DDoS,0.5605848607807472,0.8798726254529483,0.6848425280970899,9107.0
DoS,0.9123628147191737,0.6329992721572141,0.7474300069414603,17861.0
Port Scan,0.9769457444964466,0.9974338554110256,0.9870834975261614,11301.0
Web Attack,0.7560975609756098,0.6739130434782609,0.7126436781609196,138.0
accuracy,0.948515,0.948515,0.948515,0.948515
macro avg,0.6961247191209706,0.8487187059360882,0.7034423481668995,200000.0
weighted avg,0.968159162442911,0.948515,0.9540813991602798,200000.0
