,precision,recall,f1-score,support
BENIGN,1.0,0.9993831852562585,0.999691497483679,160502.0
Bot,0.6492890995260664,1.0,0.7873563218390804,137.0
Brute Force,0.9989528795811519,1.0,0.9994761655316919,954.0
DDoS,0.9992318665642489,0.9998901943559899,0.9995609220636663,9107.0
DoS,0.9986018679044796,0.9997200604669392,0.9991606513345643,17861.0
Port Scan,0.9999114730878187,0.9994690735333156,0.9996902243660662,11301.0
Web Attack,0.9645390070921985,0.9855072463768116,0.974910394265233,138.0
accuracy,0.999435,0.999435,0.999435,0.999435
macro avg,0.9443608848222805,0.9977099657127592,0.9656923109834258,200000.0
weighted avg,0.9995654608277109,0.999435,0.9994744968891232,200000.0
