,precision,recall,f1-score,support
BENIGN,1.0,0.9994267984199574,0.9997133170464177,160502.0
Bot,0.6618357487922706,1.0,0.7965116279069767,137.0
Brute Force,1.0,1.0,1.0,954.0
DDoS,0.999231950844854,1.0,0.9996158278908951,9107.0
DoS,0.9987693684622699,0.999664072560327,0.999216520230567,17861.0
Port Scan,1.0,0.9994690735333156,0.9997344662772172,11301.0
Web Attack,0.951048951048951,0.9855072463768116,0.9679715302491103,138.0
accuracy,0.99947,0.99947,0.99947,0.99947
macro avg,0.9444122884497637,0.9977238844129159,0.9661090413715977,200000.0
weighted avg,0.99958970659639,0.99947,0.9995059789631056,200000.0
