,precision,recall,f1-score,support
BENIGN,0.9999750221678261,0.9977321154876575,0.998852309726675,160502.0
Bot,0.3251833740831296,0.9708029197080292,0.48717948717948717,137.0
Brute Force,0.9528112449799196,0.9947589098532494,0.9733333333333334,954.0
DDoS,0.9932532152646004,0.5172943889315911,0.6802888086642599,9107.0
DoS,0.7980331451466035,0.9813560270981468,0.8802510985561833,17861.0
Port Scan,0.9943417911767306,0.9952216617998407,0.9947815319299487,11301.0
Web Attack,0.3103448275862069,0.9782608695652174,0.4712041884816754,138.0
accuracy,0.974205,0.974205,0.974205,0.974205
macro avg,0.7677060886292882,0.9193466989205332,0.7836986796959377,200000.0
weighted avg,0.9801531713155698,0.974205,0.972688521638313,200000.0
