,precision,recall,f1-score,support
BENIGN,0.9999937043565852,0.9896387583955341,0.9947892854682441,160502.0
Bot,0.08203592814371258,1.0,0.15163254012174876,137.0
Brute Force,0.9744637385086823,1.0,0.9870667356440765,954.0
DDoS,0.9995114802149487,0.8986493905786758,0.9464006938421509,9107.0
DoS,0.9469046045384446,0.9625440904764571,0.9546602993031069,17861.0
Port Scan,0.9906476089641786,0.9935403946553403,0.9920918930859288,11301.0
Web Attack,0.15966386554621848,0.9637681159420289,0.27394438722966014,138.0
accuracy,0.983335,0.983335,0.983335,0.983335
macro avg,0.7361744186103959,0.972591535721148,0.7572265478135595,200000.0
weighted avg,0.9933721164983094,0.983335,0.9877379937695013,200000.0
