,precision,recall,f1-score,support
BENIGN,0.999968045605312,0.9748663568055227,0.987257670163262,160502.0
Bot,0.036290322580645164,0.9854014598540146,0.0700025926886181,137.0
Brute Force,0.2265272165438555,0.9989517819706499,0.3693082735903895,954.0
DDoS,0.9231294064134637,0.4457011090370045,0.6011552132701422,9107.0
DoS,0.7456268221574344,0.8018587984995241,0.7727211416547519,17861.0
Port Scan,0.975694746929175,0.9910627378108132,0.9833187006145742,11301.0
Web Attack,0.2441860465116279,0.9130434782608695,0.3853211009174312,138.0
accuracy,0.936315,0.936315,0.936315,0.936315
macro avg,0.5930603723916449,0.8729836746054855,0.5955835275570242,200000.0
weighted avg,0.9675127708937336,0.936315,0.9463034640533302,200000.0
