,precision,recall,f1-score,support
BENIGN,1.0,0.9928723629612092,0.9964234352529232,160502.0
Bot,0.12973484848484848,1.0,0.22967309304274938,137.0
Brute Force,0.9636363636363636,1.0,0.9814814814814815,954.0
DDoS,0.9994481236203091,0.9942901065114746,0.9968624428909562,9107.0
DoS,0.9863772800738859,0.9567213481887912,0.9713230069631945,17861.0
Port Scan,0.9950323782489133,0.992567029466419,0.993798174891468,11301.0
Web Attack,0.14057507987220447,0.9565217391304348,0.24512534818941503,138.0
accuracy,0.989705,0.989705,0.989705,0.989705
macro avg,0.7449720105623606,0.9847103694654755,0.7735267118160268,200000.0
weighted avg,0.9971150084698734,0.989705,0.9929385985966053,200000.0
