,precision,recall,f1-score,support
BENIGN,1.0,0.9931838855590585,0.9965802882060579,160502.0
Bot,0.1202809482001756,1.0,0.21473354231974923,137.0
Brute Force,0.9814814814814815,1.0,0.9906542056074766,954.0
DDoS,1.0,0.6922147798396837,0.8181169294659658,9107.0
DoS,0.8596266561591883,0.9771569341022339,0.914631589980086,17861.0
Port Scan,0.9939716312056738,0.9921245907441819,0.9930472521146096,11301.0
Web Attack,0.2222222222222222,0.9565217391304348,0.36065573770491804,138.0
accuracy,0.978,0.978,0.978,0.978
macro avg,0.7396547056098203,0.9444574184822275,0.7554885064855519,200000.0
weighted avg,0.9858957179990899,0.978,0.9799332760916369,200000.0
