,precision,recall,f1-score,support
BENIGN,1.0,0.986747828687493,0.99332971647375,160502.0
Bot,0.07279489904357067,1.0,0.1357107478949975,137.0
Brute Force,0.8949343339587242,1.0,0.9445544554455445,954.0
DDoS,0.9983423582716322,0.9919841879872625,0.995153117426746,9107.0
DoS,0.9935132630603498,0.9604165500251945,0.9766846015885217,17861.0
Port Scan,0.9923914005131381,0.992567029466419,0.9924792072199611,11301.0
Web Attack,0.125590179414542,0.9637681159420289,0.2222222222222222,138.0
accuracy,0.98502,0.98502,0.98502,0.98502
macro avg,0.7253666334659937,0.9850691017297712,0.7514477240388205,200000.0
weighted avg,0.9971756558301222,0.98502,0.9905260038663192,200000.0
