Modelo,Accuracy,F1_Macro,F1_Weighted,Train_Time,Train_Samples,Test_Samples,Experimento,Tipo,Clasificacion
Dummy,0.80251,0.12720515915505123,0.7145838859146413,0:00:00.076517,1960000,200000,"EXPERIMENTO 1: TSTR MULTICLASE (Train Synthetic, Test Real)",TSTR,Multiclase
LogisticReg,0.936315,0.5955835275570242,0.9463034640533302,0:04:44.148122,1960000,200000,"EXPERIMENTO 1: TSTR MULTICLASE (Train Synthetic, Test Real)",TSTR,Multiclase
RandomForest,0.989705,0.7735267118160268,0.9929385985966053,0:00:45.075778,1960000,200000,"EXPERIMENTO 1: TSTR MULTICLASE (Train Synthetic, Test Real)",TSTR,Multiclase
KNeighbors,0.974205,0.7836986796959377,0.972688521638313,0:00:00.231302,1960000,200000,"EXPERIMENTO 1: TSTR MULTICLASE (Train Synthetic, Test Real)",TSTR,Multiclase
LightGBM,0.983335,0.7572265478135595,0.9877379937695013,0:00:11.478804,1960000,200000,"EXPERIMENTO 1: TSTR MULTICLASE (Train Synthetic, Test Real)",TSTR,Multiclase
XGBoost,0.98502,0.7514477240388205,0.9905260038663192,0:00:06.158023,1960000,200000,"EXPERIMENTO 1: TSTR MULTICLASE (Train Synthetic, Test Real)",TSTR,Multiclase
Voting,0.978,0.7554885064855519,0.9799332760916369,0:00:31.309291,1960000,200000,"EXPERIMENTO 1: TSTR MULTICLASE (Train Synthetic, Test Real)",TSTR,Multiclase
Dummy,0.80251,0.12720515915505123,0.7145838859146413,0:00:00.002966,69727,200000,"EXPERIMENTO 2: TRTR MULTICLASE (Train Real, Test Real) - BASELINE",TRTR,Multiclase
LogisticReg,0.948515,0.7034423481668995,0.9540813991602798,0:00:05.135072,69727,200000,"EXPERIMENTO 2: TRTR MULTICLASE (Train Real, Test Real) - BASELINE",TRTR,Multiclase
RandomForest,0.999435,0.9656923109834258,0.9994744968891232,0:00:01.571958,69727,200000,"EXPERIMENTO 2: TRTR MULTICLASE (Train Real, Test Real) - BASELINE",TRTR,Multiclase
KNeighbors,0.995845,0.9180840237652543,0.9961595290135025,0:00:00.003464,69727,200000,"EXPERIMENTO 2: TRTR MULTICLASE (Train Real, Test Real) - BASELINE",TRTR,Multiclase
LightGBM,0.999575,0.97135639433836,0.9995985158081073,0:00:22.619308,69727,200000,"EXPERIMENTO 2: TRTR MULTICLASE (Train Real, Test Real) - BASELINE",TRTR,Multiclase
XGBoost,0.99955,0.9722006655363459,0.9995726444691982,0:00:01.297679,69727,200000,"EXPERIMENTO 2: TRTR MULTICLASE (Train Real, Test Real) - BASELINE",TRTR,Multiclase
Voting,0.99947,0.9661090413715977,0.9995059789631056,0:00:03.784045,69727,200000,"EXPERIMENTO 2: TRTR MULTICLASE (Train Real, Test Real) - BASELINE",TRTR,Multiclase
Dummy,0.19749,0.16491995757793385,0.0651400848441323,0:00:00.116949,1960000,200000,"EXPERIMENTO 3: TSTR BINARIO (Train Synthetic, Test Real)",TSTR,Binaria
LogisticReg,0.96726,0.9513131807620838,0.9681714299195756,0:00:10.889297,1960000,200000,"EXPERIMENTO 3: TSTR BINARIO (Train Synthetic, Test Real)",TSTR,Binaria
RandomForest,0.997455,0.9960048593115964,0.997461125744723,0:00:42.212213,1960000,200000,"EXPERIMENTO 3: TSTR BINARIO (Train Synthetic, Test Real)",TSTR,Binaria
KNeighbors,0.99816,0.9971074896080323,0.9981631406762135,0:00:00.269952,1960000,200000,"EXPERIMENTO 3: TSTR BINARIO (Train Synthetic, Test Real)",TSTR,Binaria
LightGBM,0.992445,0.9882508204774851,0.9924979647006106,0:00:04.437116,1960000,200000,"EXPERIMENTO 3: TSTR BINARIO (Train Synthetic, Test Real)",TSTR,Binaria
XGBoost,0.98903,0.9830475628787354,0.9891404744301326,0:00:00.943579,1960000,200000,"EXPERIMENTO 3: TSTR BINARIO (Train Synthetic, Test Real)",TSTR,Binaria
Voting,0.994405,0.9912670596028381,0.9944342365262591,0:00:30.927891,1960000,200000,"EXPERIMENTO 3: TSTR BINARIO (Train Synthetic, Test Real)",TSTR,Binaria
Dummy,0.19749,0.16491995757793385,0.0651400848441323,0:00:00.003682,69727,200000,"EXPERIMENTO 4: TRTR BINARIO (Train Real, Test Real) - BASELINE",TRTR,Binaria
LogisticReg,0.977575,0.9660341398519139,0.9780128520036282,0:00:01.289715,69727,200000,"EXPERIMENTO 4: TRTR BINARIO (Train Real, Test Real) - BASELINE",TRTR,Binaria
RandomForest,0.999505,0.9992199190433757,0.9995052334313281,0:00:01.576914,69727,200000,"EXPERIMENTO 4: TRTR BINARIO (Train Real, Test Real) - BASELINE",TRTR,Binaria
KNeighbors,0.99827,0.997279947107405,0.9982728061700392,0:00:00.005381,69727,200000,"EXPERIMENTO 4: TRTR BINARIO (Train Real, Test Real) - BASELINE",TRTR,Binaria
LightGBM,0.999655,0.9994561517581563,0.9996551134537452,0:00:03.386058,69727,200000,"EXPERIMENTO 4: TRTR BINARIO (Train Real, Test Real) - BASELINE",TRTR,Binaria
XGBoost,0.99955,0.9992907746816473,0.9995501929493578,0:00:00.208628,69727,200000,"EXPERIMENTO 4: TRTR BINARIO (Train Real, Test Real) - BASELINE",TRTR,Binaria
Voting,0.99959,0.9993537676702464,0.999590160194597,0:00:02.135526,69727,200000,"EXPERIMENTO 4: TRTR BINARIO (Train Real, Test Real) - BASELINE",TRTR,Binaria
